SkillId	Name	RecoveryValue	Notes
184	Whistle Sting	0	
185	Shadoweave	0	
186	Double Fang	0	
187	Wyrm Scorn	0	
188	Rending Gale	0	
189	Vile Scar	0	
190	Cherry Ronde	0	
191	Papillon Reel	0	
192	Sunder	0	
193	Thunderwave	0	
194	Swallow Slash	0	
195	Advent Sign	0	
196	Mistral Edge	0	
197	Glacial Gale	0	
198	Killer Mantis	0	
199	Black Nebula	0	
200	Bear Claw	0	
201	Accursed Umbra	0	
202	Iron Ripper	0	
203	Emetic Bomb	0	
204	Sirocco	0	
205	Riskbreak	0	
206	Gravis Aether	0	
207	Trinity Pulse	0	
208	Bonecrusher	0	
209	Quickshock	0	
210	Ignis Wheel	0	
211	Hex Flux	0	
212	Ruination	0	
213	Scythe Wind	0	
214	Giga Tempest	0	
215	Spiral Scourge	0	
216	Brimstone Hail	0	
217	Heaven's Scorn	0	
218	Death Wail	0	
219	Sanctus Flare	0	
220	Lotus Palm	0	
221	Vertigo	0	
222	Vermillion Aura	0	
223	Retribution	0	
