SkillId	Name	RecoveryValue	Notes
54	Degenerate	0	
55	Psychodrain	0	
56	Leadbones	0	
57	Tarnish	0	
58	Analyze	0	
60	Herakles	0	
61	Enlighten	0	
62	Invigorate	0	
63	Prostasia	0	
65	Heal	0	
66	Luft Fusion	0	
67	Spark Fusion	0	
68	Soil Fusion	0	
69	Frost Fusion	0	
70	Aero Guard	0	
71	Pyro Guard	0	
72	Terra Guard	0	
73	Aqua Guard	0	
74	Dark Chant	0	
75	Silence	0	
76	Magic Ward	0	
77	Surging Balm	0	
78	Lightning Bolt	0	
79	Fixate	0	
80	Dispel	0	
81	Fireball	0	
82	Stun Cloud	0	
83	Poison Mist	0	
84	Vulcan Lance	0	
85	Curse	0	
86	Aqua Blast	0	
87	Restoration	0	
88	Antidote	0	
90	Blessing	0	
91	Clearance	0	
92	Unlock	0	
93	Eureka	0	
94	Drain Heart	0	
95	Drain Mind	0	
96	Heal	0	
97	Solid Shock	0	
98	Lightning Bolt	0	
99	Fireball	0	
100	Vulcan Lance	0	
101	Aqua Blast	0	
102	Spirit Surge	0	
103	Dark Chant	0	
104	Exorcism	0	
105	Banish	0	
106	Explosion Lv.1	0	
107	Explosion Lv.2	0	
108	Explosion Lv.3	0	
109	Explosion Lv.4	0	
110	Thunderburst Lv.1	0	
111	Thunderburst Lv.2	0	
112	Thunderburst Lv.3	0	
113	Thunderburst Lv.4	0	
114	Flame Sphere Lv.1	0	
115	Flame Sphere Lv.2	0	
116	Flame Sphere Lv.3	0	
117	Flame Sphere Lv.4	0	
118	Gaea Strike Lv.1	0	
119	Gaea Strike Lv.2	0	
120	Gaea Strike Lv.3	0	
121	Gaea Strike Lv.4	0	
122	Avalanche Lv.1	0	
123	Avalanche Lv.2	0	
124	Avalanche Lv.3	0	
125	Avalanche Lv.4	0	
126	Radial Surge Lv.1	0	
127	Radial Surge Lv.2	0	
128	Radial Surge Lv.3	0	
129	Radial Surge Lv.4	0	
130	Meteor Lv.1	0	
131	Meteor Lv.2	0	
132	Meteor Lv.3	0	
133	Meteor Lv.4	0	
134	Tornado	2	
135	Thunderbolt	2	
136	Fire Storm	2	
137	Gravity	2	
138	Acid Flow	2	
139	Judgment	2	
140	Apocalypse	2	
